Date,Lead Source,Company,Email,Phone Number,Industry,Customer Name,Status,Lead Added By,Notes
27/08/2026,Google Search,Abf,solaust@ozemail.com.au,03 8307 5088,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://www.abf.gov.au/sdg-subsite/Pages/Software-Developers.aspx
27/08/2026,Google Search,Clicks,contact@clicks.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://clicks.com.au/for-employers/software-development-recruitment/
27/08/2026,Google Search,Clutch,contact@clutch.co,,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://clutch.co/au/developers
27/08/2026,Google Search,Emanatetechnology,contact@emanatetechnology.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://www.emanatetechnology.com.au/software-development-jobs
27/08/2026,Google Search,Xnetit,contact@xnetit.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://www.xnetit.com.au/software-development.html
27/08/2026,Google Search,Robert Stoelhorst,robert@robertstoelhorst.com,,IT / Software,Software Developer Contact,New,Python Scraper,Query: site:linkedin.com/in Software Developer Australia email contact | Link: https://au.linkedin.com/in/robertstoelhorst
27/08/2026,Google Search,Health,ssurance@health.gov.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://www.health.gov.au/contacts?language=en
27/08/2026,Google Search,Health,contact@health.wa.gov.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://www.health.wa.gov.au/about-us/contact-us
27/08/2026,Google Search,Healthcareaustralia,corporateaffairs@primaryhsa.com.au,1300 665 880,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://healthcareaustralia.com.au/contact/
27/08/2026,Google Search,Completehealthaustralia,admin@completehealthaustralia.com.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://completehealthaustralia.com.au/contact-us/
27/08/2026,Google Search,Privatehealthcareaustralia,nock@australianunity.com.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://privatehealthcareaustralia.org.au/resources/provider-resources/contacts-for-providers/
27/08/2026,Google Search,Hospitalhealth,contact@hospitalhealth.com.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://www.hospitalhealth.com.au/contacts/new
27/08/2026,Google Search,Health,contact@health.vic.gov.au,1300 650 172,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://www.health.vic.gov.au/contact-us
27/08/2026,Google Search,Hconc,WACHS.SafetyQualityPerformance@health.wa.gov.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Hospital Administrator Australia Healthcare email contact | Link: https://www.hconc.org.au/individual-advocacy/how-to-make-a-complaint/
27/08/2026,Google Search,Healthcareaustralia,contact@healthcareaustralia.com.au,1300 422 247,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://healthcareaustralia.com.au/contact/
27/08/2026,Google Search,Health,contact@health.gov.au,1800 633 422,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://www.health.gov.au/contacts?language=en
27/08/2026,Google Search,Myagedcare,contact@myagedcare.gov.au,1800 200 422,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://www.myagedcare.gov.au/find-a-provider/search/mvg5204hc-hca-corporate-health-pty-ltd/help-at-home/healthcare-australia-vic-5246t6l0fq
27/08/2026,Google Search,Hcca,contact@hcca.org.au,1800 633 422,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://www.hcca.org.au/for-patients-carers-and-families/navigating-the-health-system/
27/08/2026,Google Search,Hcahomecare,contact@hcahomecare.com.au,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://hcahomecare.com.au/who-we-are/
27/08/2026,Google Search,Leadiq,contact@leadiq.com,,Healthcare,Hospital Administrator Contact,New,Python Scraper,Query: Healthcare Australia Hospital Administrator phone contact | Link: https://leadiq.com/c/healthcare-australia/5a1d96652300005400850a48
27/08/2026,Google Search,Propertymanager,contact@propertymanager.net.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.propertymanager.net.au/our-company-property-management-specialists/contact-us
27/08/2026,Google Search,Frasersproperty,contact@frasersproperty.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.frasersproperty.com.au/residential/property-management
27/08/2026,Google Search,Longview,contact@longview.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://longview.com.au/property-management-melbourne/contact-us
27/08/2026,Google Search,Dit,DIT.GEHaccounts@sa.gov.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://dit.sa.gov.au/property
27/08/2026,Google Search,Realestate,contact@realestate.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.realestate.com.au/property-management/
27/08/2026,Google Search,Inspectrealestate,contact@inspectrealestate.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.inspectrealestate.com.au/
27/08/2026,Google Search,Belleproperty,contact@belleproperty.com,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.belleproperty.com/head-office
27/08/2026,Google Search,Magain,info@magain.com.au,08 8277 1777,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.magain.com.au/contact-us/
27/08/2026,Google Search,Consumer,contact@consumer.vic.gov.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Property Manager Australia Real Estate email contact | Link: https://www.consumer.vic.gov.au/housing/renting/starting-and-changing-rental-agreements/using-a-property-manager-or-agent
27/08/2026,Google Search,About,contact@about.realestate.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://about.realestate.com.au/
27/08/2026,Google Search,Customer,contact@customer.realestate.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://customer.realestate.com.au/contact-us/
27/08/2026,Google Search,Theagency,hellowa@theagency.com.au,0458 879 600,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://theagency.com.au/office/3/corporate-head-office-perth
27/08/2026,Google Search,Acxpa,CustomerCare@realestate.com.au,1300853440,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://acxpa.com.au/business/rea-group/
27/08/2026,Google Search,Rpmaustralia,contact@rpmaustralia.com.au,07 3846 4646,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://rpmaustralia.com.au/home/
27/08/2026,Google Search,Randw,li@rwaw.com.au,0430 785 966,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://www.randw.com.au/find-a-property-manager.html
27/08/2026,Google Search,Officehq,contact@officehq.com.au,1300 267 937,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://www.officehq.com.au/industry/real-estate-property-management/
27/08/2026,Google Search,Partner,customersupport@realestate.com.au,1300 134 174,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://partner.realestate.com.au/help/support/
27/08/2026,Google Search,Rmaproperty,contact@rmaproperty.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: Real Estate Australia Property Manager phone contact | Link: https://rmaproperty.com.au/
27/08/2026,Google Search,Diane Dooley,diane@socialpropertyagents.com.au,,Real Estate,Property Manager Contact,New,Python Scraper,Query: site:linkedin.com/in Property Manager Australia email contact | Link: https://au.linkedin.com/in/diane-dooley-property-manager
27/08/2026,Google Search,Pageexecutive,contact@pageexecutive.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.pageexecutive.com/recruitment-expertise/consultant/location/australia
27/08/2026,Google Search,Morganmckinley,contact@morganmckinley.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.morganmckinley.com/au/employers/executive-search/meet-the-team
27/08/2026,Google Search,Consultancy,contact@consultancy.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.consultancy.com.au/rankings/top-consulting-firms-in-australia-by-area-of-expertise/management
27/08/2026,Google Search,Spencerstuart,contact@spencerstuart.com,+61 2.9240.0100,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.spencerstuart.com/locations/sydney
27/08/2026,Google Search,Kearney,contact@kearney.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.kearney.com/about/locations/anz
27/08/2026,Google Search,Calmconsulting,adrian@calmconsulting.com.au,0413 863 154,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.calmconsulting.com.au/contact-2/
27/08/2026,Google Search,Babbageconsultants,contact.us@babbageconsultants.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.babbageconsultants.com.au/contact
27/08/2026,Google Search,Moore-australia,contact@moore-australia.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.moore-australia.com.au/services/consulting/
27/08/2026,Google Search,Consultaustralia,contact@consultaustralia.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Managing Director Australia Consulting email contact | Link: https://www.consultaustralia.com.au/home/advocacy/Consulting-Matters-July-2025/people-and-movements
27/08/2026,Google Search,Imc,contact@imc.org.au,03 8583 9002,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://imc.org.au/
27/08/2026,Google Search,Grantthornton,contact@grantthornton.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://www.grantthornton.com.au/services/consulting/management-consulting/
27/08/2026,Google Search,Socialventures,contact@socialventures.org.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://www.socialventures.org.au/about/consulting/
27/08/2026,Google Search,Kpmg,contact@kpmg.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://kpmg.com/au/en/services/consulting.html
27/08/2026,Google Search,Fticonsulting,contact@fticonsulting.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://www.fticonsulting.com/australia
27/08/2026,Google Search,Brookerconsulting,contact@brookerconsulting.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://brookerconsulting.com.au/contact/
27/08/2026,Google Search,Lucidconsulting,contact@lucidconsulting.com.au,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://lucidconsulting.com.au/people/
27/08/2026,Google Search,Teneo,contact@teneo.com,,Consulting,Managing Director Contact,New,Python Scraper,Query: Consulting Australia Managing Director phone contact | Link: https://www.teneo.com/australia/
27/08/2026,Google Search,Vic,enquiries@education.vic.gov.au,1800 657 452,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://www.vic.gov.au/contact-us-department-education
27/08/2026,Google Search,Www2,pal.support@education.vic.gov.au,03 7022 1888,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://www2.education.vic.gov.au/pal/pal-help
27/08/2026,Google Search,Education,ccshelpdesk@education.gov.au,1300 667 276,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://www.education.gov.au/about-department/contact-us
27/08/2026,Google Search,Schoolsdirectory,contact@schoolsdirectory.eq.edu.au,,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://schoolsdirectory.eq.edu.au/
27/08/2026,Google Search,Education,contact@education.wa.edu.au,,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://www.education.wa.edu.au/
27/08/2026,Google Search,Azgovbiz,contact@azgovbiz.com.au,02 9516 4703,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://azgovbiz.com.au/list-of-marketing-lists/school-principals
27/08/2026,Google Search,Education,contact@education.nsw.gov.au,1300 679 332,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://education.nsw.gov.au/about-us/contact-department
27/08/2026,Google Search,Internationaleducation,prisms@dese.gov.au,,Education,Principal Contact,New,Python Scraper,Query: Principal Australia Education email contact | Link: https://internationaleducation.gov.au/About-AEI/Contact-Us/Pages/ContactUs.aspx
27/08/2026,Google Search,Education,contact@education.gov.au,1300 555 727,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://www.education.gov.au/about-department/contact-us
27/08/2026,Google Search,Education,politanERO.PublicInbox@education.wa.edu.au,1800 177 777,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://www.education.wa.edu.au/contact
27/08/2026,Google Search,Educationaus,contact@educationaus.net.au,07 5681 0665,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://educationaus.net.au/about-us/
27/08/2026,Google Search,Esa,contact@esa.edu.au,+61 3 9207 9600,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://www.esa.edu.au/contact-us
27/08/2026,Google Search,Education,contact@education.qld.gov.au,1300 555 727,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://education.qld.gov.au/contact-us
27/08/2026,Google Search,Lutheran,contact@lutheran.edu.au,08 8267 7318,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://lutheran.edu.au/contact/
27/08/2026,Google Search,Leadership,contact@leadership.teachforaustralia.org,,Education,Principal Contact,New,Python Scraper,Query: Education Australia Principal phone contact | Link: https://leadership.teachforaustralia.org/contact-us
27/08/2026,Google Search,Whointhezoo,contact@whointhezoo.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://www.whointhezoo.com.au/careertips/digital-recruitment-whointhezoo
27/08/2026,Google Search,Au,contact@au.indeed.com,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://au.indeed.com/q-e-commerce-manager-l-melbourne-vic-jobs.html
27/08/2026,Google Search,Freddystore,jobs@freddystore.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://www.freddystore.com.au/pages/ecommerce-manager?srsltid=AfmBOoqzudPh3uFLOI9CFLbgtfJC9VhaXkfBorMdN1y7kT-qFPiXuUtK
27/08/2026,Google Search,Retailmanager,contact@retailmanager.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: http://www.retailmanager.com.au/retail-manager-pos-software-support.htm
27/08/2026,Google Search,Etisk,contact@etisk.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://www.etisk.com.au/hunting
27/08/2026,Google Search,Peopleequity,contact@peopleequity.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://www.peopleequity.com.au/digital-and-ecommerce
27/08/2026,Google Search,S2m,contact@s2m.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Store Manager Australia Retail / E-commerce email contact | Link: https://www.s2m.com.au/ceo-jobs
27/08/2026,Google Search,Msto,contact@msto.startrack.com.au,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Retail / E-commerce Australia Store Manager phone contact | Link: https://msto.startrack.com.au/articles/5-things-online-retailers-are-doing
27/08/2026,Google Search,Au,contact@au.jora.com,,Retail / E-commerce,Store Manager Contact,New,Python Scraper,Query: Retail / E-commerce Australia Store Manager phone contact | Link: https://au.jora.com/E-Commerce-Manager-jobs-in-Australia
